Facility Id,FRS Id,Facility Name_x,Latitude,Longitude,Unit Name,Primary NAICS Code_y,Unit CO2 emissions (non-biogenic),Specific Fuel Type,inWECC,inWestCensus
1004225,110025339621.0,Cardinal FG Company,46.5439,-122.9259,GP-misc. NG fired small space heaters,327211.0,1109.5,Natural Gas (Weighted U.S. Average),True,True
1004225,110025339621.0,Cardinal FG Company,46.5439,-122.9259,natural gas fired glass Melting Furnace,327211.0,70062.7,Natural Gas (Weighted U.S. Average),True,True
1007904,110071161729.0,GUARDIAN INDUSTRIES LLC - KINGSBURG,36.49031,-119.533971,GP-Space Heaters,327211.0,90.1,Natural Gas (Weighted U.S. Average),True,True
1007904,110071161729.0,GUARDIAN INDUSTRIES LLC - KINGSBURG,36.49031,-119.533971,Guardian Industries Corp Kingsburg F1,327211.0,83936.9,Natural Gas (Weighted U.S. Average),True,True
1007904,110071161729.0,GUARDIAN INDUSTRIES LLC - KINGSBURG,36.49031,-119.533971,Guardian Industries Corp Kingsburg F1,327211.0,83936.9,Liquefied petroleum gases (LPG),True,True
1000005,110000482022.0,Ardagh Glass Inc. (Madera),36.92375,-120.10151,GP-1,327213.0,57423.2,Natural Gas (Weighted U.S. Average),True,True
1000024,110000489659.0,Ardagh Glass Inc. (Seattle),47.551767,-122.337152,GP-1,327213.0,41601.1,Natural Gas (Weighted U.S. Average),True,True
1001718,110000485270.0,GALLO GLASS COMPANY,37.630957,-120.97472,CP-4 furnaces to common EP,327213.0,109505.7,Natural Gas (Weighted U.S. Average),True,True
1001718,110000485270.0,GALLO GLASS COMPANY,37.630957,-120.97472,Emergency Flare,327213.0,0.0,Propane Gas,True,True
1001975,110064133325.0,OWENS-BROCKWAY GLASS CONTAINER INC PLANT 28,40.461452,-104.849165,Furnace A,327213.0,28388.8,Natural Gas (Weighted U.S. Average),True,True
1001975,110064133325.0,OWENS-BROCKWAY GLASS CONTAINER INC PLANT 28,40.461452,-104.849165,Furnace B,327213.0,29284.7,Natural Gas (Weighted U.S. Average),True,True
1001975,110064133325.0,OWENS-BROCKWAY GLASS CONTAINER INC PLANT 28,40.461452,-104.849165,GP-Other,327213.0,16932.8,Natural Gas (Weighted U.S. Average),True,True
1002007,110000485421.0,OWENS-BROCKWAY GLASS CONTAINER INC.,37.715147,-121.49157,A Furnace,327213.0,11047.2,Natural Gas (Weighted U.S. Average),True,True
1002007,110000485421.0,OWENS-BROCKWAY GLASS CONTAINER INC.,37.715147,-121.49157,B Furnace,327213.0,19677.3,Natural Gas (Weighted U.S. Average),True,True
1002007,110000485421.0,OWENS-BROCKWAY GLASS CONTAINER INC.,37.715147,-121.49157,C Furnace,327213.0,24567.9,Natural Gas (Weighted U.S. Average),True,True
1002007,110000485421.0,OWENS-BROCKWAY GLASS CONTAINER INC.,37.715147,-121.49157,GP-NGAGG,327213.0,12385.7,Natural Gas (Weighted U.S. Average),True,True
1007823,110002631073.0,OWENS-BROCKWAY GLASS CONTAINER INC. PLANT #23,33.9972,-118.2172,Furnace B,327213.0,21659.3,Natural Gas (Weighted U.S. Average),True,True
1007823,110002631073.0,OWENS-BROCKWAY GLASS CONTAINER INC. PLANT #23,33.9972,-118.2172,Furnace C,327213.0,19959.7,Natural Gas (Weighted U.S. Average),True,True
1007823,110002631073.0,OWENS-BROCKWAY GLASS CONTAINER INC. PLANT #23,33.9972,-118.2172,GP-Other,327213.0,5774.1,Natural Gas (Weighted U.S. Average),True,True
1006053,110000487660.0,OWENS-BROCKWAY GLASS CONTAINER INC. PLANT 21,45.5639,-122.56436,Furnace D,327213.0,10132.1,Natural Gas (Weighted U.S. Average),True,True
1006053,110000487660.0,OWENS-BROCKWAY GLASS CONTAINER INC. PLANT 21,45.5639,-122.56436,GP-AGGNG,327213.0,3449.5,Natural Gas (Weighted U.S. Average),True,True
1003465,110000844999.0,ROCKY MOUNTAIN BOTTLE COMPANY,39.78741,-105.11498,CP-1,327213.0,50320.3,Natural Gas (Weighted U.S. Average),True,True
