Facility Id,FRS Id,Facility Name_x,Latitude,Longitude,Unit Name,Primary NAICS Code_y,Unit CO2 emissions (non-biogenic),Specific Fuel Type,inWECC,inWestCensus
1002527,110070834904.0,ASH GROVE CEMENT COMPANY-DURKEE,44.542325,-117.42053,GP-other sources,327310.0,23506.829999999998,Natural Gas (Weighted U.S. Average),True,True
1002531,110000595197.0,ASH GROVE CEMENT COMPANY-MONTANA CITY,46.54448,-111.92062,Clark Gulch Quarry Shop Propane,327310.0,3484.254886363636,Propane,True,True
1002531,110000595197.0,ASH GROVE CEMENT COMPANY-MONTANA CITY,46.54448,-111.92062,GP-Misc. Natural Gas Combustion,327310.0,3484.254886363636,Natural Gas (Weighted U.S. Average),True,True
1002531,110000595197.0,ASH GROVE CEMENT COMPANY-MONTANA CITY,46.54448,-111.92062,Kiln Aux Diesel Drive,327310.0,3484.254886363636,Distillate Fuel Oil No. 2,True,True
1002531,110000595197.0,ASH GROVE CEMENT COMPANY-MONTANA CITY,46.54448,-111.92062,Used Oil Burner,327310.0,3484.254886363636,Used Oil,True,True
1002537,110000897085.0,ASH GROVE CEMENT COMPANY-SEATTLE,47.56799,-122.34255,Shop Heater,327310.0,17698.438125,Natural Gas (Weighted U.S. Average),True,True
1002530,,Ash Grove Cement Company-LEAMINGTON,39.508327,-112.262246,GP-space heat,327310.0,20215.651153846153,Natural Gas (Weighted U.S. Average),True,True
1007877,110000467450.0,CEMEX CONSTRUCTION MATERIALS SOUTH LLC,40.202236,-105.236697,GP-01,327310.0,11108.938846153847,Natural Gas (Weighted U.S. Average),True,True
1002308,110070318467.0,CEMEX Construction Materials Pacific LLC,34.39654,-117.150005,Coal Mill 1,327310.0,12930.696268656717,Natural Gas (Weighted U.S. Average),True,True
1002308,110070318467.0,CEMEX Construction Materials Pacific LLC,34.39654,-117.150005,CP- Raw Mill #1,327310.0,12930.696268656717,Natural Gas (Weighted U.S. Average),True,True
1002308,110070318467.0,CEMEX Construction Materials Pacific LLC,34.39654,-117.150005,CP-Raw Mill #2,327310.0,12930.696268656717,Natural Gas (Weighted U.S. Average),True,True
1002308,110070318467.0,CEMEX Construction Materials Pacific LLC,34.39654,-117.150005,GP-Quarry Aux Bldging Heat-hot water,327310.0,12930.696268656717,Natural Gas (Weighted U.S. Average),True,True
1002308,110070318467.0,CEMEX Construction Materials Pacific LLC,34.39654,-117.150005,GP-Quarry Heating,327310.0,12930.696268656717,Propane Gas,True,True
1002308,110070318467.0,CEMEX Construction Materials Pacific LLC,34.39654,-117.150005,GP-River Plant Heating,327310.0,12930.696268656717,Natural Gas (Weighted U.S. Average),True,True
1006842,110063527964.0,CalPortland Company Mojave Plant,35.03837,-118.2977,CP- Other NG Devices,327310.0,32975.07923076923,Natural Gas (Weighted U.S. Average),True,True
1007927,110001200922.0,CalPortland Company Oro Grande Plant,34.6045,-117.3382,GP-Office Heating,327310.0,51529.11923076923,Natural Gas (Weighted U.S. Average),True,True
1006669,110070840230.0,CalPortland Company Rillito Plant,32.4108,-111.15055,CP- Other Gas Devices,327310.0,18108.9,Natural Gas (Weighted U.S. Average),True,True
1006669,110070840230.0,CalPortland Company Rillito Plant,32.4108,-111.15055,GP-Maintenance/Garage Buildings,327310.0,18108.9,Propane Gas,True,True
1004612,110070385909.0,CalPortland Redding Cement Plant,40.7369,-122.3223,Coal Mill,327310.0,15367.140000000001,Natural Gas (Weighted U.S. Average),True,True
1003067,110037262636.0,GCC RIO GRANDE INC,38.129058,-104.606741,Finish Mill,327310.0,11490.599423076925,Natural Gas (Weighted U.S. Average),True,True
1003067,110037262636.0,GCC RIO GRANDE INC,38.129058,-104.606741,Pueblo Mobile Crusher,327310.0,11490.599423076925,Distillate Fuel Oil No. 2,True,True
1002431,110000484039.0,HANSON PERMANENTE CEMENT,37.3181,-122.091,GP-Boilers,327310.0,0.3997058823529412,Natural Gas (Weighted U.S. Average),True,True
1002431,110000484039.0,HANSON PERMANENTE CEMENT,37.3181,-122.091,Lab 1 Cupertino,327310.0,0.3997058823529412,Propane,True,True
1004131,110012414128.0,HOLCIM (US) INC. DEVIL\S SLIDE PLANT,41.0633,-111.5317,GP-Non Kiln Unit,327310.0,24511.392692307694,Natural Gas (Weighted U.S. Average),True,True
1003008,110071159604.0,Holcim (US) Inc. - Portland Plant,38.328631,-105.008989,GP-Non-Kiln Combustion Units,327310.0,26857.298076923078,Natural Gas (Weighted U.S. Average),True,True
1005662,110070081921.0,Mitsubishi Cement Corp Cushenbury Cement Plant,34.437557,-116.891034,CP-MCC non kiln natural gas,327310.0,40073.05730769231,Natural Gas (Weighted U.S. Average),True,True
1006642,110071162504.0,NATIONAL CEMENT CO OF CALIFORNIA INC,34.819863,-118.748732,53HE01 and 53HE02,327310.0,14621.91576923077,Natural Gas (Weighted U.S. Average),True,True
1006642,110071162504.0,NATIONAL CEMENT CO OF CALIFORNIA INC,34.819863,-118.748732,GP- Ancillary heaters,327310.0,14621.91576923077,Natural Gas (Weighted U.S. Average),True,True
1004174,110071162501.0,NEVADA CEMENT COMPANY,39.62,-119.2628,Raw Mill 1,327310.0,3983.8901086956525,Natural Gas (Weighted U.S. Average),True,True
1004174,110071162501.0,NEVADA CEMENT COMPANY,39.62,-119.2628,Raw Mill 2,327310.0,3983.8901086956525,Natural Gas (Weighted U.S. Average),True,True
