Facility Id,Facility Name_x,Latitude,Longitude,Unit Name,Primary NAICS Code_y,Unit CO2 emissions (non-biogenic),Specific Fuel Type
1000005,Ardagh Glass Inc. (Madera),36.92375,-120.10151,GP-1,327213.0,57423.2,Natural Gas (Weighted U.S. Average)
1000024,Ardagh Glass Inc. (Seattle),47.551767,-122.337152,GP-1,327213.0,41601.1,Natural Gas (Weighted U.S. Average)
1003258,Ardagh Glass Packaging Inc. (Houston),29.76151,-95.25591,GP-1,327213.0,41850.0,Natural Gas (Weighted U.S. Average)
1001718,GALLO GLASS COMPANY,37.630957,-120.97472,CP-4 furnaces to common EP,327213.0,109505.7,Natural Gas (Weighted U.S. Average)
1001718,GALLO GLASS COMPANY,37.630957,-120.97472,Emergency Flare,327213.0,0.0,Propane Gas
1001975,OWENS-BROCKWAY GLASS CONTAINER INC PLANT 28,40.461452,-104.849165,Furnace A,327213.0,28388.8,Natural Gas (Weighted U.S. Average)
1001975,OWENS-BROCKWAY GLASS CONTAINER INC PLANT 28,40.461452,-104.849165,Furnace B,327213.0,29284.7,Natural Gas (Weighted U.S. Average)
1001975,OWENS-BROCKWAY GLASS CONTAINER INC PLANT 28,40.461452,-104.849165,GP-Other,327213.0,16932.8,Natural Gas (Weighted U.S. Average)
1002007,OWENS-BROCKWAY GLASS CONTAINER INC.,37.715147,-121.49157,A Furnace,327213.0,11047.2,Natural Gas (Weighted U.S. Average)
1002007,OWENS-BROCKWAY GLASS CONTAINER INC.,37.715147,-121.49157,B Furnace,327213.0,19677.3,Natural Gas (Weighted U.S. Average)
1002007,OWENS-BROCKWAY GLASS CONTAINER INC.,37.715147,-121.49157,C Furnace,327213.0,24567.9,Natural Gas (Weighted U.S. Average)
1002007,OWENS-BROCKWAY GLASS CONTAINER INC.,37.715147,-121.49157,GP-NGAGG,327213.0,12385.7,Natural Gas (Weighted U.S. Average)
1007499,OWENS-BROCKWAY GLASS CONTAINER INC. PLANT #15,31.510092,-97.170302,Furnace A,327213.0,16501.4,Natural Gas (Weighted U.S. Average)
1007499,OWENS-BROCKWAY GLASS CONTAINER INC. PLANT #15,31.510092,-97.170302,Furnace B,327213.0,18272.2,Natural Gas (Weighted U.S. Average)
1007499,OWENS-BROCKWAY GLASS CONTAINER INC. PLANT #15,31.510092,-97.170302,Furnace D,327213.0,23724.3,Natural Gas (Weighted U.S. Average)
1007499,OWENS-BROCKWAY GLASS CONTAINER INC. PLANT #15,31.510092,-97.170302,GP-Other,327213.0,21487.2,Natural Gas (Weighted U.S. Average)
1007823,OWENS-BROCKWAY GLASS CONTAINER INC. PLANT #23,33.9972,-118.2172,Furnace B,327213.0,21659.3,Natural Gas (Weighted U.S. Average)
1007823,OWENS-BROCKWAY GLASS CONTAINER INC. PLANT #23,33.9972,-118.2172,Furnace C,327213.0,19959.7,Natural Gas (Weighted U.S. Average)
1007823,OWENS-BROCKWAY GLASS CONTAINER INC. PLANT #23,33.9972,-118.2172,GP-Other,327213.0,5774.1,Natural Gas (Weighted U.S. Average)
1006053,OWENS-BROCKWAY GLASS CONTAINER INC. PLANT 21,45.5639,-122.56436,Furnace D,327213.0,10132.1,Natural Gas (Weighted U.S. Average)
1006053,OWENS-BROCKWAY GLASS CONTAINER INC. PLANT 21,45.5639,-122.56436,GP-AGGNG,327213.0,3449.5,Natural Gas (Weighted U.S. Average)
1003465,ROCKY MOUNTAIN BOTTLE COMPANY,39.78741,-105.11498,CP-1,327213.0,50320.3,Natural Gas (Weighted U.S. Average)
