Facility Id,Facility Name_x,Latitude,Longitude,Unit Name,Primary NAICS Code_y,Unit CO2 emissions (non-biogenic),Specific Fuel Type
1005353,ABERDEEN ENERGY LLC,45.442417,-98.787139,CP-001,325193.0,191850.2,Natural Gas (Weighted U.S. Average)
1002380,AGRIUM US BORGER NITROGEN OPERATIONS,35.6411,-101.4203,EPN-2 Reformer,325311.0,410708.6,Natural Gas (Weighted U.S. Average)
1002380,AGRIUM US BORGER NITROGEN OPERATIONS,35.6411,-101.4203,PKGB1,325311.0,88637.1,Natural Gas (Weighted U.S. Average)
1004236,AGRIUM US INC - KFO,46.165957,-119.017218,Agrium KFO,325311.0,1269.3,Natural Gas (Weighted U.S. Average)
1003730,AIR LIQUIDE - FREEPORT HYCO PLANT,28.98037,-95.38396,AUXSTACK,325120.0,1.6,Natural Gas (Weighted U.S. Average)
1003780,AIR LIQUIDE - PORT NECHES ASU COGENERATION PLANT,29.981116,-93.952389,REGENHTR,325120.0,1173.7,Natural Gas (Weighted U.S. Average)
1003780,AIR LIQUIDE - PORT NECHES ASU COGENERATION PLANT,29.981116,-93.952389,RGNHTR-LMA,325120.0,1877.9,Natural Gas (Weighted U.S. Average)
1003780,AIR LIQUIDE - PORT NECHES ASU COGENERATION PLANT,29.981116,-93.952389,TURBINEDB,325120.0,0.0,Natural Gas (Weighted U.S. Average)
1002430,AIR PRODUCTS BAYTOWN PLANT,29.757778,-95.023056,Boiler (EPN 7),325120.0,56959.1,Natural Gas (Weighted U.S. Average)
1002430,AIR PRODUCTS BAYTOWN PLANT,29.757778,-95.023056,Disposal Vaporizer,325120.0,384.6,Natural Gas (Weighted U.S. Average)
1002430,AIR PRODUCTS BAYTOWN PLANT,29.757778,-95.023056,Product Vaporizer,325120.0,906.2,Natural Gas (Weighted U.S. Average)
1002430,AIR PRODUCTS BAYTOWN PLANT,29.757778,-95.023056,TSA Regen Heater,325120.0,1648.0,Natural Gas (Weighted U.S. Average)
1003402,ALBEMARLE CORPORATION HOUSTON PLANT,29.742498,-95.165513,GP-Pasadena,325199.0,44914.9,Natural Gas (Weighted U.S. Average)
1003402,ALBEMARLE CORPORATION HOUSTON PLANT,29.742498,-95.165513,GP-Pasadena,325199.0,44914.9,Distillate Fuel Oil No. 2
1003402,ALBEMARLE CORPORATION HOUSTON PLANT,29.742498,-95.165513,GP-Pasadena,325199.0,44914.9,Motor Gasoline
1007263,ALTO COLUMBIA LLC,45.855921,-119.656083,GP-1,325193.0,39119.8,Natural Gas (Weighted U.S. Average)
1007264,ALTO MAGIC VALLEY LLC,42.521324,-113.815693,GP-1,325193.0,56590.6,Natural Gas (Weighted U.S. Average)
1004732,AMERICAN ACRYL PASADENA,29.608982,-95.054226,CP-Americanacryl,325199.0,73132.3,Natural Gas (Weighted U.S. Average)
1001908,APACHE NITROGEN PRODUCTS - PLANT,31.88,-110.24,CP-1,325311.0,27224.4,Natural Gas (Weighted U.S. Average)
1006644,ARKEMA BEAUMONT PLANT,30.060226,-94.058976,GP-Beaumont Combustion Sources,325199.0,54128.0,Natural Gas (Weighted U.S. Average)
1006797,ARKEMA INC CLEAR LAKE,29.62139,-95.06389,CP-1,325110.0,47220.0,Natural Gas (Weighted U.S. Average)
1006797,ARKEMA INC CLEAR LAKE,29.62139,-95.06389,CP-2,325110.0,40906.5,Natural Gas (Weighted U.S. Average)
1006797,ARKEMA INC CLEAR LAKE,29.62139,-95.06389,CP-3,325110.0,1312.6,Natural Gas (Weighted U.S. Average)
1013817,ARLANXEO Orange Site,30.049622,-93.772226,GP-BOILER,325212.0,209931.2,Natural Gas (Weighted U.S. Average)
1002190,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU FACILITY,29.2567,-95.2144,CP-1,325199.0,261381.9,Natural Gas (Weighted U.S. Average)
1012089,"Aemetis Advanced Fuels Keyes, Inc.",37.553007,-120.916475,GP-Multiple Units,325193.0,69625.7,Natural Gas (Weighted U.S. Average)
1012089,"Aemetis Advanced Fuels Keyes, Inc.",37.553007,-120.916475,GP-Multiple Units,325193.0,69625.7,Other Biomass Gases
1003160,Air Products La Porte Facility,29.702,-95.071,Boiler 22.04 EPN 15,325120.0,729.1,Natural Gas (Weighted U.S. Average)
1003160,Air Products La Porte Facility,29.702,-95.071,Fired Gas Preheater A (F-101),325120.0,22993.6,Natural Gas (Weighted U.S. Average)
1003160,Air Products La Porte Facility,29.702,-95.071,Fired Gas Preheater A (F-101),325120.0,22993.6,Fuel Gas
1003160,Air Products La Porte Facility,29.702,-95.071,Fired Gas Preheater B (F-201),325120.0,21113.5,Natural Gas (Weighted U.S. Average)
1003160,Air Products La Porte Facility,29.702,-95.071,Fired Gas Preheater B (F-201),325120.0,21113.5,Fuel Gas
1003160,Air Products La Porte Facility,29.702,-95.071,New LOx Vap Burner A,325120.0,44.3,Natural Gas (Weighted U.S. Average)
1003160,Air Products La Porte Facility,29.702,-95.071,New LOx Vap Burner B,325120.0,10.5,Natural Gas (Weighted U.S. Average)
1003160,Air Products La Porte Facility,29.702,-95.071,RGN HTR,325120.0,1671.8,Natural Gas (Weighted U.S. Average)
1003160,Air Products La Porte Facility,29.702,-95.071,Start Up Burner V101 EPN 101,325120.0,83.9,Natural Gas (Weighted U.S. Average)
1003160,Air Products La Porte Facility,29.702,-95.071,Start Up Burner V201 EPN 102,325120.0,667.2,Natural Gas (Weighted U.S. Average)
1006402,Air Products Port Arthur Facility,29.8662,-93.97117,CO2 CoGen Unit (EPN EP-216),325120.0,124518.1,Natural Gas (Weighted U.S. Average)
1006402,Air Products Port Arthur Facility,29.8662,-93.97117,PA1 Gas Turbine (EPN GT6B STK),325120.0,167378.4,Natural Gas (Weighted U.S. Average)
1006402,Air Products Port Arthur Facility,29.8662,-93.97117,PA2 Gas Turbine (EPN GTG2 STK),325120.0,317326.1,Natural Gas (Weighted U.S. Average)
1006402,Air Products Port Arthur Facility,29.8662,-93.97117,PA2 HRSG (EPN HRSG STK),325120.0,95849.0,Natural Gas (Weighted U.S. Average)
1006402,Air Products Port Arthur Facility,29.8662,-93.97117,PA2 HRSG (EPN HRSG STK),325120.0,95849.0,Fuel Gas
1006402,Air Products Port Arthur Facility,29.8662,-93.97117,TEG Reboiler (EPN EP-210),325120.0,2808.2,Natural Gas (Weighted U.S. Average)
1003448,"Alcon Vision, LLC",32.65733,-97.32096,GP-Boilers,325412.0,17554.4,Natural Gas (Weighted U.S. Average)
1003448,"Alcon Vision, LLC",32.65733,-97.32096,GP-Boilers,325412.0,17554.4,Distillate Fuel Oil No. 2
1003448,"Alcon Vision, LLC",32.65733,-97.32096,Incinerator,325412.0,27.0,Natural Gas (Weighted U.S. Average)
1010658,Aurora Ethanol Complex,40.86801,-98.0364,Aurora East Boiler,325193.0,0.0,Natural Gas (Weighted U.S. Average)
1010658,Aurora Ethanol Complex,40.86801,-98.0364,GP-Aurora East Dryers_RTO,325193.0,0.0,Natural Gas (Weighted U.S. Average)
1010658,Aurora Ethanol Complex,40.86801,-98.0364,GP-Aurora West Boilers,325193.0,95668.0,Natural Gas (Weighted U.S. Average)
1010658,Aurora Ethanol Complex,40.86801,-98.0364,GP-Aurora West Dryers_RTOs,325193.0,31611.9,Natural Gas (Weighted U.S. Average)
1005872,"B BRAUN MEDICAL, INC",33.6878,-117.8379,Co-Gen #1,325412.0,13521.4,Natural Gas (Weighted U.S. Average)
1005872,"B BRAUN MEDICAL, INC",33.6878,-117.8379,CoGen #2,325412.0,15558.1,Natural Gas (Weighted U.S. Average)
1005872,"B BRAUN MEDICAL, INC",33.6878,-117.8379,Duplex,325412.0,8.1,Natural Gas (Weighted U.S. Average)
1005872,"B BRAUN MEDICAL, INC",33.6878,-117.8379,GP-Boilers & DB,325412.0,21998.7,Natural Gas (Weighted U.S. Average)
1005872,"B BRAUN MEDICAL, INC",33.6878,-117.8379,GP-Plant Use,325412.0,192.9,Natural Gas (Weighted U.S. Average)
1005850,BASF BEAUMONT AGRO PLANT,29.971389,-94.053333,CP-1,325320.0,67272.4,Natural Gas (Weighted U.S. Average)
1002613,BASF CORP - PASADENA PLANT,29.731639,-95.152083,CP-100,325110.0,38490.7,Natural Gas (Weighted U.S. Average)
1002613,BASF CORP - PASADENA PLANT,29.731639,-95.152083,GP-100,325110.0,70.0,Natural Gas (Weighted U.S. Average)
1001934,BASF FREEPORT SITE,29.002075,-95.399777,5-1-H1A,325199.0,33309.9,Fuel Gas
1001934,BASF FREEPORT SITE,29.002075,-95.399777,CP-12 INCH / CP-8 INCH,325199.0,593642.5,Natural Gas (Weighted U.S. Average)
1006543,BASF TOTALEnergies PETROCHEMICALS LLC,29.951649,-93.887272,B-7240,325110.0,60264.7,Fuel Gas
1006543,BASF TOTALEnergies PETROCHEMICALS LLC,29.951649,-93.887272,B-7280,325110.0,133552.5,Fuel Gas
1006543,BASF TOTALEnergies PETROCHEMICALS LLC,29.951649,-93.887272,B-7290,325110.0,118010.4,Fuel Gas
1006543,BASF TOTALEnergies PETROCHEMICALS LLC,29.951649,-93.887272,GTG-1,325110.0,213309.1,Fuel Gas
1006543,BASF TOTALEnergies PETROCHEMICALS LLC,29.951649,-93.887272,GTG-2,325110.0,178132.2,Fuel Gas
1006543,BASF TOTALEnergies PETROCHEMICALS LLC,29.951649,-93.887272,GTGENG-1,325110.0,9.7,Distillate Fuel Oil No. 2
1006543,BASF TOTALEnergies PETROCHEMICALS LLC,29.951649,-93.887272,GTGENG-2,325110.0,10.4,Distillate Fuel Oil No. 2
1006543,BASF TOTALEnergies PETROCHEMICALS LLC,29.951649,-93.887272,H-0100,325110.0,88372.4,Fuel Gas
1006543,BASF TOTALEnergies PETROCHEMICALS LLC,29.951649,-93.887272,H-0200,325110.0,102791.3,Fuel Gas
1006543,BASF TOTALEnergies PETROCHEMICALS LLC,29.951649,-93.887272,H-0300,325110.0,98481.1,Fuel Gas
1006543,BASF TOTALEnergies PETROCHEMICALS LLC,29.951649,-93.887272,H-0400,325110.0,92372.0,Fuel Gas
1006543,BASF TOTALEnergies PETROCHEMICALS LLC,29.951649,-93.887272,H-0500,325110.0,98884.0,Fuel Gas
