Facility Id,FRS Id,Facility Name_x,Latitude,Longitude,Unit Name,Primary NAICS Code_y,inWECC,inWestCensus,geometry
1000005,110000482022.0,Ardagh Glass Inc. (Madera),36.92375,-120.10151,GP-1,327213.0,True,True,POINT (-120.10151 36.92375)
1000024,110000489659.0,Ardagh Glass Inc. (Seattle),47.551767,-122.337152,GP-1,327213.0,True,True,POINT (-122.337152 47.551767)
1001718,110000485270.0,GALLO GLASS COMPANY,37.630957,-120.97472,CP-4 furnaces to common EP,327213.0,True,True,POINT (-120.97472 37.630957)
1001975,110064133325.0,OWENS-BROCKWAY GLASS CONTAINER INC PLANT 28,40.461452,-104.849165,Furnace A,327213.0,True,True,POINT (-104.849165 40.461452)
1002007,110000485421.0,OWENS-BROCKWAY GLASS CONTAINER INC.,37.715147,-121.49157,A Furnace,327213.0,True,True,POINT (-121.49157 37.715147)
1003465,110000844999.0,ROCKY MOUNTAIN BOTTLE COMPANY,39.78741,-105.11498,CP-1,327213.0,True,True,POINT (-105.11498 39.78741)
1004225,110025339621.0,Cardinal FG Company,46.5439,-122.9259,GP-misc. NG fired small space heaters,327211.0,True,True,POINT (-122.9259 46.5439)
1006053,110000487660.0,OWENS-BROCKWAY GLASS CONTAINER INC. PLANT 21,45.5639,-122.56436,Furnace D,327213.0,True,True,POINT (-122.56436 45.5639)
1007823,110002631073.0,OWENS-BROCKWAY GLASS CONTAINER INC. PLANT #23,33.9972,-118.2172,Furnace B,327213.0,True,True,POINT (-118.2172 33.9972)
1007904,110071161729.0,GUARDIAN INDUSTRIES LLC - KINGSBURG,36.49031,-119.533971,GP-Space Heaters,327211.0,True,True,POINT (-119.533971 36.49031)
